"task","id","group","session","phase","piss","thirsty","hungry"
"internal",227,"obese","second",1,8.241758,60.71429,60.43956
"internal",227,"obese","second",2,8.241758,60.43956,69.23077
"internal",227,"obese","second",3,18.13187,62.91209,74.17582
"internal",227,"obese","second",4,48.07692,57.41758,62.08791
"internal",227,"obese","second",5,82.96703,55.49451,59.61538
"internal",228,"obese","second",1,8.241758,91.75824,31.04396
"internal",228,"obese","second",2,8.241758,70.87912,8.241758
"internal",228,"obese","second",3,8.241758,50,8.241758
"internal",228,"obese","second",4,87.08791,91.75824,8.241758
"internal",228,"obese","second",5,91.75824,31.31868,8.241758
"internal",229,"obese","second",1,8.241758,39.83516,69.78022
"internal",229,"obese","second",2,8.241758,17.85714,41.20879
"internal",229,"obese","second",3,8.241758,22.52747,37.08791
"internal",229,"obese","second",4,8.241758,32.41758,83.24176
"internal",229,"obese","second",5,13.18681,53.2967,87.36264
"internal",230,"obese","second",1,8.241758,8.241758,8.791209
"internal",230,"obese","second",2,8.241758,8.241758,8.241758
"internal",230,"obese","second",3,8.241758,8.241758,8.241758
"internal",230,"obese","second",4,20.05495,40.65934,8.241758
"internal",230,"obese","second",5,80.21978,8.241758,8.241758
"internal",231,"obese","second",1,8.241758,59.34066,70.6044
"internal",231,"obese","second",2,8.241758,66.48352,89.83516
"internal",231,"obese","second",3,50,51.37363,91.75824
"internal",231,"obese","second",4,63.73626,55.21978,91.75824
"internal",231,"obese","second",5,67.30769,50.54945,91.20879
"internal",232,"obese","second",1,8.241758,46.15385,31.59341
"internal",232,"obese","second",2,8.241758,57.69231,27.74725
"internal",232,"obese","second",3,8.241758,8.241758,32.96703
"internal",232,"obese","second",4,8.241758,8.241758,8.241758
"internal",232,"obese","second",5,8.241758,14.01099,8.241758
"internal",233,"obese","second",1,20.6044,56.59341,54.3956
"internal",233,"obese","second",2,26.92308,42.85714,42.58242
"internal",233,"obese","second",3,50,35.71429,37.08791
"internal",233,"obese","second",4,78.02198,27.1978,31.31868
"internal",233,"obese","second",5,83.79121,50,50
"internal",234,"obese","second",1,13.18681,23.07692,22.52747
"internal",234,"obese","second",2,14.01099,9.065934,21.7033
"internal",234,"obese","second",3,30.76923,8.241758,15.65934
"internal",234,"obese","second",4,67.85714,9.340659,10.71429
"internal",234,"obese","second",5,82.41758,8.241758,13.18681
"internal",235,"obese","second",1,8.241758,8.241758,8.516484
"internal",235,"obese","second",2,8.241758,8.241758,8.241758
"internal",235,"obese","second",3,8.241758,50,8.241758
"internal",235,"obese","second",4,20.32967,8.516484,9.340659
"internal",235,"obese","second",5,62.08791,8.241758,8.241758
"internal",236,"obese","second",1,8.241758,8.241758,8.241758
"internal",236,"obese","second",2,8.241758,8.241758,8.241758
"internal",236,"obese","second",3,16.75824,8.241758,13.18681
"internal",236,"obese","second",4,50,8.241758,20.32967
"internal",236,"obese","second",5,84.61538,8.241758,19.23077
"internal",237,"obese","second",1,8.241758,60.71429,64.01099
"internal",237,"obese","second",2,8.241758,62.08791,66.20879
"internal",237,"obese","second",3,8.241758,55.49451,67.58242
"internal",237,"obese","second",4,8.241758,60.98901,67.30769
"internal",237,"obese","second",5,18.68132,48.62637,54.94505
