"","ID","trial","item_condition","run","bin","congr","CS","CS_pupil","CS_DW_L","CS_DW_R","CS_DW_congr","CS_DW_cue","ANT_DW_L","ANT_DW_R","ANT_DW_congr","ANT_DW_cue","US_RT","US_ACC","CS_liking"
"145","sub-01",145,48,3,"bin06","congr","CSpL",-0.06181092,0.06703911,0,0.06703911,0.603352,0.4375,0,0.4375,0.3828125,0.1276306,1,NA
"146","sub-01",146,49,3,"bin06","congr","CSpL",0.8551782,0,0,0,0.575,0.6583333,0,0.6583333,0.125,-0.2406182,1,NA
"147","sub-01",147,50,3,"bin06","congr","CSpL",0.05998943,0,0,0,0.2765957,0.01639344,0,0.01639344,0,-0.1686565,1,NA
"148","sub-01",148,48,3,"bin06","congr","CSmi",-0.2178137,0,0,0,0.3928571,0,0.2162162,0.1081081,0.3513514,NA,1,NA
"149","sub-01",149,51,3,"bin06","incongr","CSpR",-0.5762275,0,0,0,0.1612903,0,0,0,0.7954545,-0.05987169,1,NA
"150","sub-01",150,51,3,"bin06","congr","CSpL",-0.4829685,0,0,0,0.00729927,0.5075758,0,0.5075758,0.1060606,0.04671925,1,NA
"151","sub-01",151,52,3,"bin06","congr","CSpR",0.3523742,0,0,0,0.1123596,0,0.5371901,0.5371901,0.2231405,-0.1207589,1,NA
"152","sub-01",152,52,3,"bin06","congr","CSpL",-0.5035194,0,0,0,0.8435374,0.4444444,0,0.4444444,0.1984127,0.07511236,1,NA
"153","sub-01",153,53,3,"bin06","congr","CSpR",0.4123794,0,0,0,0.2926829,0,0,0,0.4615385,-0.02593426,1,NA
"154","sub-01",154,54,3,"bin06","congr","CSpR",0.03095666,0,0,0,0.01162791,0,0.008474576,0.008474576,0,-0.0708364,1,NA
"155","sub-01",155,49,3,"bin06","congr","CSmi",0.1911006,0,0,0,0.5649718,0,0,0,0,NA,1,NA
"156","sub-01",156,50,3,"bin06","congr","CSmi",0.3896689,0,0,0,0,0,0,0,0.08130081,NA,1,NA
"157","sub-01",157,51,3,"bin06","congr","CSmi",-0.233967,0,0,0,0.264,0,0,0,0,NA,1,NA
"158","sub-01",158,52,3,"bin06","congr","CSmi",0.01216216,0,0,0,0.352381,0,0,0,0.1344538,NA,1,NA
"159","sub-01",159,53,3,"bin06","congr","CSmi",0.1450339,0,0,0,0.02985075,0,0,0,0,NA,1,NA
"160","sub-01",160,53,3,"bin06","congr","CSpL",-0.1032608,0,0,0,0,0,0,0,0,0.4681693,1,NA
"161","sub-01",161,54,3,"bin06","congr","CSpL",-0.4902438,0,0,0,0,0,0,0,0,NA,1,NA
"162","sub-01",162,54,3,"bin06","congr","CSmi",0.1632426,0,0,0,0,0,0,0,0,NA,1,NA
"163","sub-02",1,1,1,"bin01","congr","CSpL",-0.05684904,0,0,0,0,0.2230769,0.2461538,0.2230769,0.4076923,0.06700134,1,NA
"164","sub-02",2,1,1,"bin01","congr","CSpR",-0.1680542,0,0,0,0,0.01574803,0.09448819,0.09448819,0.1259843,-0.2790228,1,NA
"165","sub-02",3,2,1,"bin01","incongr","CSpR",-0.04831424,0,0,0,0,0,0,0,0.9666667,-0.4769728,1,NA
"166","sub-02",4,2,1,"bin01","congr","CSpL",-0.05343937,0,0,0,0,0.8905109,0,0.8905109,0.1021898,-0.3250273,1,NA
