ID   trial   item_condition   run   bin   congr   CS   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   CS_DW_cue   ANT_DW_L   ANT_DW_R   ANT_DW_congr   ANT_DW_cue   US_RT   US_ACC   CS_liking
sub-01   102   36   02   bin04    congr   CSpL  3.091353e-01   0   0   0   6.896552e-03   4.655172e-01   0   4.655172e-01   8.620690e-03   6.708216e-02   1   NaN
sub-01   103   34   02   bin04    congr   CSpR  3.776899e-01   0   1.394231e-01   1.394231e-01   2.019231e-01   1.280000e-01   5.120000e-01   5.120000e-01   0   NaN   1   NaN
sub-01   104   35   02   bin04    congr   CSpR  1.691463e-01   0   0   0   1.428571e-01   0   6.218487e-01   6.218487e-01   8.403361e-03   1.835028e-02   1   NaN
sub-01   105   34   02   bin04    incongr   CSmi  6.992681e-01   0   0   0   0   0   0   0   3.769231e-01   1.498257e-01   1   NaN
sub-01   106   35   02   bin04    incongr   CSmi  -1.056248e-01   0   0   0   3.500000e-01   0   0   0   1.259259e-01   9.325473e-02   1   NaN
sub-01   107   36   02   bin04    incongr   CSpR  -7.647529e-01   0   0   0   2.435897e-01   0   0   0   0   1.386772e-02   1   NaN
sub-01   108   36   02   bin04    congr   CSmi  -1.198104e-01   0   0   0   0   2.240000e-01   3.680000e-01   2.960000e-01   0   NaN   1   NaN
sub-01   109   37   03   bin05    congr   CSpL  -4.661011e-01   0   0   0   1.699346e-01   6.480000e-01   1.120000e-01   6.480000e-01   8.800000e-02   1.011628e-01   1   NaN
sub-01   110   38   03   bin05    incongr   CSpL  6.007182e-02   0   0   0   8.486486e-01   8.267717e-01   0   8.267717e-01   0   6.800693e-02   1   NaN
sub-01   111   37   03   bin05    congr   CSpR  -3.835614e-01   0   0   0   7.031250e-01   0   0   0   7.692308e-01   3.905979e-02   1   NaN
sub-01   112   39   03   bin05    congr   CSpL  9.700406e-02   0   0   0   1.046512e-01   8.333333e-01   0   8.333333e-01   0   -6.832523e-02   1   NaN
sub-01   113   40   03   bin05    congr   CSpL  1.258349e-02   0   0   0   0   3.779528e-01   0   3.779528e-01   0   9.670474e-03   1   NaN
sub-01   114   37   03   bin05    incongr   CSmi  -2.591715e-01   0   0   0   4.851485e-01   3.140496e-01   1.983471e-01   2.561983e-01   7.438017e-02   -8.036716e-02   1   NaN
sub-01   115   38   03   bin05    congr   CSpR  1.016457e-01   0   0   0   3.958333e-01   0   0   0   4.916667e-01   -2.650703e-01   1   NaN
sub-01   116   39   03   bin05    congr   CSpR  -2.964848e-01   0   0   0   7.407407e-02   0   0   0   7.200000e-02   -7.941847e-02   1   NaN
sub-01   117   38   03   bin05    congr   CSmi  -1.494449e-01   0   0   0   3.000000e-01   4.330709e-01   1.496063e-01   2.913386e-01   7.086614e-02   NaN   1   NaN
sub-01   118   39   03   bin05    congr   CSmi  4.173535e-01   0   0   0   6.870748e-01   0   0   0   0   NaN   1   NaN
sub-01   119   40   03   bin05    incongr   CSpR  -3.157555e-01   0   0   0   3.333333e-01   0   1.250000e-01   1.250000e-01   1.416667e-01   4.215943e-01   1   NaN
sub-01   120   40   03   bin05    congr   CSmi  8.955473e-01   0   0   0   0   0   0   0   2.764228e-01   NaN   1   NaN
